"coef","variable","OR","group"
0,"Excitatory Expression",1,"CRBP"
0.0632744916934868,"Excitatory Expression",1.06531922037828,"CRBP"
0,"Excitatory Expression",1,"CRBP"
0.086664789643472,"Excitatory Expression",1.09053106113633,"CRBP"
0.0936945304957727,"Excitatory Expression",1.0982242206652,"CRBP"
0,"Inhibitory Expression",1,"CRBP"
0,"Inhibitory Expression",1,"CRBP"
0,"Inhibitory Expression",1,"CRBP"
0.0357496873402938,"Inhibitory Expression",1.03639639088266,"CRBP"
0,"Inhibitory Expression",1,"CRBP"
-0.861646041796977,"LOEUF",0.422466112797959,"CRBP"
-1.19983772018345,"LOEUF",0.301243093619807,"CRBP"
-0.586967060855253,"LOEUF",0.556011077785579,"CRBP"
-1.00911521510261,"LOEUF",0.364541377629424,"CRBP"
-1.29695885134353,"LOEUF",0.273361864275516,"CRBP"
