"pair","overlap","inAnotB","inBnotA","inNeither","p_value","p_adjusted"
"Decile_1 vs DEG_down",475,1331,1575,12464,1.64984398026594e-60,1.64984398026594e-59
"Decile_2 vs DEG_down",314,1478,1736,12317,2.05791653214556e-09,2.05791653214556e-08
"Decile_3 vs DEG_down",269,1484,1781,12311,0.00101000634174664,0.0101000634174664
"Decile_4 vs DEG_down",227,1496,1823,12299,0.390096068456129,1
"Decile_5 vs DEG_down",189,1506,1861,12289,0.991690255492659,1
"Decile_6 vs DEG_down",154,1499,1896,12296,0.999999403710372,1
"Decile_7 vs DEG_down",143,1435,1907,12360,0.999999813356189,1
"Decile_8 vs DEG_down",127,1334,1923,12461,0.999999958827479,1
"Decile_9 vs DEG_down",99,1227,1951,12568,0.999999999986812,1
"Decile_10 vs DEG_down",53,1005,1997,12790,1,1
